9.838799999999999768e-01,1.370400000000000063e+00,9.010299999999999976e-01,1.000000000000000000e+00,-5.289999999999999810e+101
5.434400000000000341e-01,6.581699999999999662e+00,4.575500000000000123e-01,8.307900000000000285e-01,-4.360000000000000346e+144
7.644199999999999606e-02,3.086699999999999999e+00,1.000000000000000000e+00,2.582599999999999896e-01,-9.680000000000000014e+99
4.044099999999999917e-01,5.116200000000000081e+00,9.985699999999999577e-01,7.972599999999999687e-01,-1.429999999999999951e+149
3.458999999999999853e-01,6.121599999999999930e+00,4.560100000000000264e-01,7.392900000000000027e-01,-2.019999999999999909e+132
5.572799999999999976e-01,3.659699999999999953e+00,4.544599999999999751e-01,7.220400000000000151e-01,-3.630000000000000020e+125
6.864200000000000301e-01,2.587200000000000166e+00,9.549400000000000110e-01,9.031700000000000284e-01,-4.110000000000000102e+141
5.920400000000000107e-01,3.725800000000000001e+00,9.256699999999999928e-01,7.580999999999999961e-01,-1.930000000000000049e+128
3.119999999999999857e-02,2.016499999999999915e+01,4.429899999999999949e-01,-2.773400000000000087e+00,-1.290000000000000053e+198
6.242699999999999916e-01,5.408100000000000129e+00,4.299000000000000044e-01,6.438500000000000334e-01,-8.389999999999999873e+124
5.989600000000000479e-01,2.140899999999999892e+01,3.017900000000000027e-01,7.181899999999999951e-01,-1.089999999999999923e+150
5.541800000000000059e-01,3.848399999999999821e+00,6.770300000000000207e-01,7.672900000000000276e-01,-4.280000000000000129e+127
5.331799999999999873e-01,3.553700000000000081e+00,9.636099999999999666e-01,8.280300000000000438e-01,-1.479999999999999980e+132
2.806600000000000206e-01,2.701499999999999790e+00,9.999900000000000455e-01,3.753699999999999815e-01,-1.840000000000000029e+116
6.261900000000000244e-01,3.550300000000000011e+00,9.469600000000000239e-01,9.143000000000000016e-01,-2.000000000000000047e+143
4.333299999999999930e-01,3.518499999999999961e+00,8.049100000000000144e-01,2.799900000000000166e-01,-9.719999999999999766e+124
5.116199999999999637e-01,4.985500000000000043e+00,8.205900000000000416e-01,9.974300000000000388e-01,-6.649999999999999634e+128
6.223300000000000498e-01,3.589399999999999924e+00,9.451000000000000512e-01,9.048199999999999577e-01,-2.520000000000000119e+151
3.619499999999999940e-01,2.945300000000000029e+00,9.220099999999999962e-01,7.328799999999999759e-01,-1.650000000000000026e+114
6.690000000000000391e-01,2.083999999999999986e+01,1.860199999999999909e-01,6.694900000000000295e-01,-9.330000000000000447e+157
1.576299999999999923e-02,3.272600000000000176e+00,1.000000000000000000e+00,1.000000000000000000e+00,-5.999999999999999573e+90
5.715200000000000280e-01,2.852700000000000014e+00,9.692199999999999704e-01,9.056999999999999496e-01,-3.759999999999999913e+152
5.301399999999999446e-01,4.492899999999999672e+00,4.508699999999999930e-01,6.297700000000000520e-01,-9.870000000000000093e+125
6.218599999999999683e-01,2.271599999999999842e+00,9.299699999999999633e-01,5.797900000000000276e-01,-4.650000000000000060e+111
7.207000000000000073e-01,2.603600000000000136e+00,9.399199999999999777e-01,9.066600000000000215e-01,-1.800000000000000136e+122
5.635499999999999954e-01,3.770199999999999996e+00,9.993199999999999861e-01,4.775499999999999745e-01,-9.970000000000000470e+135
3.230199999999999738e-01,2.156699999999999839e+00,8.427400000000000446e-01,9.988800000000000456e-02,-8.009999999999999359e+113
3.294400000000000106e-01,4.169599999999999973e+00,9.987800000000000011e-01,9.023799999999999599e-01,-1.110000000000000071e+150
5.243400000000000283e-01,4.068599999999999994e+00,8.923600000000000421e-01,7.920000000000000373e-01,-1.820000000000000163e+131
8.467900000000000427e-01,1.429400000000000004e+00,1.000000000000000000e+00,7.853799999999999670e-01,-4.810000000000000176e+100
8.579500000000000104e-04,2.148799999999999955e+01,7.499999999999999843e-17,1.440000000000000041e-18,-9.170000000000000838e+87
2.366900000000000115e-01,3.629399999999999959e+00,8.983999999999999764e-01,8.265899999999999637e-02,-3.939999999999999799e+117
3.767499999999999738e-01,4.129699999999999704e+00,6.499500000000000277e-01,1.504600000000000104e-01,-5.770000000000000338e+128
9.889900000000000357e-01,2.148799999999999955e+01,1.370000000000000114e-29,1.209999999999999940e-15,-6.960000000000000212e+87
6.014000000000000457e-01,3.786900000000000155e+00,9.448299999999999477e-01,9.052799999999999736e-01,-7.530000000000000115e+146
2.943899999999999850e-01,6.873700000000000365e+00,4.741000000000000214e-01,7.542999999999999705e-01,-5.439999999999999799e+134
1.650300000000000100e-01,1.014399999999999968e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.509999999999999847e+90
6.026700000000000390e-01,3.549199999999999910e+00,9.981400000000000272e-01,7.877499999999999503e-01,-4.289999999999999973e+141
7.938399999999999901e-01,2.148699999999999832e+01,9.400000000000000336e-13,7.699300000000000033e-01,-1.860000000000000154e+88
